z;0;1;2;3;4;5;6;7;8;9
2.0;0.477;0.478;0.478;0.479;0.479;0.480;0.480;0.481;0.481;0.482
2.1;0.482;0.483;0.483;0.483;0.484;0.484;0.485;0.485;0.485;0.486
2.2;0.486;0.486;0.487;0.487;0.487;0.488;0.488;0.488;0.489;0.489
2.3;0.489;0.490;0.490;0.490;0.490;0.491;0.491;0.491;0.491;0.492
2.4;0.492;0.492;0.492;0.492;0.493;0.493;0.493;0.493;0.493;0.494
2.5;0.494;0.494;0.494;0.494;0.494;0.495;0.495;0.495;0.495;0.495
2.6;0.495;0.495;0.496;0.496;0.496;0.496;0.496;0.496;0.496;0.496
2.7;0.497;0.497;0.497;0.497;0.497;0.497;0.497;0.497;0.497;0.497
2.8;0.497;0.498;0.498;0.498;0.498;0.498;0.498;0.498;0.498;0.498
2.9;0.498;0.498;0.498;0.498;0.498;0.498;0.498;0.499;0.499;0.499